date,name,category,value
1970-01-01,Canada,Canada,6.353
1970-01-01,United States,United States,6.232
1970-01-01,Germany,United States,5.713
1970-01-01,Sweden,Sweden,5.506
1970-01-01,France,France,5.184
1970-01-01,New Zealand,New Zealand,5.073
1970-01-01,Finland,Finland,4.986
1970-01-01,Ireland,Ireland,4.907
1970-01-01,Switzerland,Switzerland,4.901
1970-01-01,Austria,Austria,4.838
1970-01-01,Iceland,Iceland,4.73
1970-01-01,Japan,Japan,4.362
1970-01-01,Norway,Norway,3.993
1970-01-01,United Kingdom,United Kingdom,3.971
1970-01-01,Belgium,Belgium,3.836
1970-01-01,Spain,Spain,3.145
1970-01-01,Korea,Korea,2.577
1970-01-01,Portugal,Portugal,2.261
1970-01-01,Australia,Australia,0
1970-01-01,Chile,Chile,0
1970-01-01,Czech Republic,Czech Republic,0
1970-01-01,Denmark,Denmark,0
1970-01-01,Estonia,Estonia,0
1970-01-01,Greece,Greece,0
1970-01-01,Hungary,Hungary,0
1970-01-01,Israel,Israel,0
1970-01-01,Italy,Italy,0
1970-01-01,Latvia,Latvia,0
1970-01-01,Lithuania,Lithuania,0
1970-01-01,Luxembourg,Luxembourg,0
1970-01-01,Mexico,Mexico,0
1970-01-01,Netherlands,Netherlands,0
1970-01-01,Poland,Poland,0
1970-01-01,Slovak Republic,Slovak Republic,0
1970-01-01,Slovenia,Slovenia,0
1970-01-01,Turkey,Turkey,0
1971-01-01,Denmark,Denmark,7.677
1971-01-01,Canada,Canada,6.611
1971-01-01,United States,United States,6.366
1971-01-01,Germany,Germany,6.185
1971-01-01,Sweden,Sweden,5.944
1971-01-01,Ireland,Ireland,5.816
1971-01-01,Finland,Finland,5.286
1971-01-01,Iceland,Iceland,5.17
1971-01-01,Switzerland,Switzerland,5.12
1971-01-01,New Zealand,New Zealand,5.007
1971-01-01,Austria,Austria,4.77
1971-01-01,Australia,Australia,4.548
1971-01-01,Japan,Japan,4.474
1971-01-01,Norway,Norway,4.263
1971-01-01,United Kingdom,United Kingdom,4.017
1971-01-01,Belgium,Belgium,3.922
1971-01-01,Spain,Spain,3.584
1971-01-01,Portugal,Portugal,2.422
1971-01-01,Korea,Korea,2.238
1971-01-01,Chile,Chile,0
1971-01-01,Czech Republic,Czech Republic,0
1971-01-01,Estonia,Estonia,0
1971-01-01,France,France,0
1971-01-01,Greece,Greece,0
1971-01-01,Hungary,Hungary,0
1971-01-01,Israel,Israel,0
1971-01-01,Italy,Italy,0
1971-01-01,Latvia,Latvia,0
1971-01-01,Lithuania,Lithuania,0
1971-01-01,Luxembourg,Luxembourg,0
1971-01-01,Mexico,Mexico,0
1971-01-01,Netherlands,Netherlands,0
1971-01-01,Poland,Poland,0
1971-01-01,Slovak Republic,Slovak Republic,0
1971-01-01,Slovenia,Slovenia,0
1971-01-01,Turkey,Turkey,0
1972-01-01,Denmark,Denmark,7.768
1972-01-01,Canada,Canada,6.528
1972-01-01,Germany,Germany,6.509
1972-01-01,United States,United States,6.499
1972-01-01,Sweden,Sweden,6.046
1972-01-01,Ireland,Ireland,5.883
1972-01-01,Netherlands,Netherlands,5.657
1972-01-01,Finland,Finland,5.381
1972-01-01,Switzerland,Switzerland,5.086
1972-01-01,Iceland,Iceland,5.068
1972-01-01,New Zealand,New Zealand,5.012
1972-01-01,Austria,Austria,4.765
1972-01-01,Norway,Norway,4.637
1972-01-01,Japan,Japan,4.58
1972-01-01,Australia,Australia,4.548
1972-01-01,United Kingdom,United Kingdom,4.088
1972-01-01,Belgium,Belgium,4.076
1972-01-01,Spain,Spain,3.782
1972-01-01,Portugal,Portugal,2.988
1972-01-01,Korea,Korea,2.04
1972-01-01,Chile,Chile,0
1972-01-01,Czech Republic,Czech Republic,0
1972-01-01,Estonia,Estonia,0
1972-01-01,France,France,0
1972-01-01,Greece,Greece,0
1972-01-01,Hungary,Hungary,0
1972-01-01,Israel,Israel,0
1972-01-01,Italy,Italy,0
1972-01-01,Latvia,Latvia,0
1972-01-01,Lithuania,Lithuania,0
1972-01-01,Luxembourg,Luxembourg,0
1972-01-01,Mexico,Mexico,0
1972-01-01,Poland,Poland,0
1972-01-01,Slovak Republic,Slovak Republic,0
1972-01-01,Slovenia,Slovenia,0
1972-01-01,Turkey,Turkey,0
1973-01-01,Denmark,Denmark,7.585
1973-01-01,Germany,Germany,6.828
1973-01-01,United States,United States,6.517
1973-01-01,Canada,Canada,6.207
1973-01-01,Sweden,Sweden,6.02
1973-01-01,Ireland,Ireland,6.018
1973-01-01,Netherlands,Netherlands,5.698
1973-01-01,New Zealand,New Zealand,5.267
1973-01-01,Finland,Finland,5.231
1973-01-01,Switzerland,Switzerland,5.161
1973-01-01,Austria,Austria,4.857
1973-01-01,Norway,Norway,4.788
1973-01-01,Iceland,Iceland,4.644
1973-01-01,Australia,Australia,4.512
1973-01-01,Japan,Japan,4.459
1973-01-01,Belgium,Belgium,4.355
1973-01-01,United Kingdom,United Kingdom,4.019
1973-01-01,Spain,Spain,3.699
1973-01-01,Portugal,Portugal,3.231
1973-01-01,Korea,Korea,1.749
1973-01-01,Chile,Chile,0
1973-01-01,Czech Republic,Czech Republic,0
1973-01-01,Estonia,Estonia,0
1973-01-01,France,France,0
